attraction,content,inquiry,website,address,fee
안압지,"경주 동궁과 월지는 신라 왕궁의 별궁터이다. 다른 부속건물들과 함께 왕자가 거처하는 동궁으로 사용되면서, 나라의 경사가 있을 때나 귀한 손님을 맞을 때 이곳에서 연회를 베풀었다고 한다. 신라 경순왕이 견훤의 침입을 받은 뒤, 931년에 고려 태조 왕건을 초청하여 위급한 상황을 호소하며 잔치를 베풀었던 곳이기도 하다. 신라는 삼국을 통일한 후 문무왕 14년(674)에 큰 연못을 파고 못 가운데에 3개의 섬과 못의 북동쪽으로 12봉우리의 산을 만들었으며, 여기에 아름다운 꽃과 나무를 심고 진귀한 새와 짐승을 길렀다고 전해진다.",054-750-8655,http://guide.gyeongju.go.kr,경상북도 경주시 원화로 102,유료
안산 노적봉,"노적봉 공원은 안산시 성포동에 위치한 가사미산의 최고봉 노적봉에 있다. 해발 155m 이며, 안산시의 청룡이다. 이산의 지맥은 수리산에서 떨어진 낙맥으로 안산읍지의 청룡말미에 해당되는데 산의 모양이 노적가리를 쌓아 놓은 듯하다 하여 ''노적봉''이라 불리었다. 노적봉에 오르면 서해안의 경관이 한눈에 들어오고, 철마다 바뀌는 해안과 바다의 모습, 특히 별망의 낙조는 절경중의 절경이다.",031-481-2710,http://tourinfo.iansan.net/main.do,경기도 안산시 상록구 고잔로 162,???
백록담,"옛날 신선들이 하늘에서 내려와 백록을 타고 놀았다해서 백록담이라 불려졌다 한다. 둘레 약 2천여미터, 깊이가 약 100여 미터의 커다란 화산호인 백록담을 한 바퀴 돌고 나면 제주 섬 해안 도로를 다 돌아다닌 것이나 진배없다. 높이 1,950m이다. 남한에서 가장 높은 산이다. 제3기 말∼제4기 초에 분출한 휴화산이다.",064-713-9950,http://www.hallasan.go.kr,제주특별자치도 서귀포시 토평동,무료
첨성대,"신라 선덕여왕때 세워진 첨성대는 천문관측대로 동양에서 가장 오래 되고 유일한 석조 구조물이다. 화강암으로 되어 있으며, 규모는 높이 9.17m, 윗지름 3.1m,아랫지름이 5.17m, 지대석 한 변의 길이가 5.35m이다. 이중으로 지어진 지대석과 기단은 네모 형태로 8매와 15매의 장대석으로 되어 있고, 그 위에는 27단으로 원통형의 본체를 쌓았는데, 밑은 넓고 위로 갈수록 좁아지다가 윗부분은 수직으로 되어 있다.",054-771-1336,http://guide.gyeongju.go.kr,경상북도 경주시 첨성로 140-25,무료
천지연 폭포,"그 이름만큼이나 빼어난 서귀포 천지연(天地淵)폭포는 조면질 안산암의 기암절벽이 하늘높이 치솟아 마치 선계(仙界)로 들어온 것같은 황홀경을 느끼게 한다. 천지연계곡에는 천연기념물 제163호로 지정된 담팔수 자생지 이외에도 가시딸기, 송엽란 등의 희귀식물과 함께 계곡 양쪽에 구실잣밤나무, 산유자나무, 동백나무 등의 난대성 식물들이 울창한 숲을 이루고 있어 천연기념물 제379호로 지정 보호되고 있다.",064-710-3945,http://geopark.jeju.go.kr/,제주특별자치도 서귀포시 천지동,유료
대관령 양떼 목장,"대관령 양떼목장은 우리나라 유일한 양 목장이다. 목장에 올라 바라보는 노을이 지는 황혼은 마치 꿈결같은 장관을 보이며, 넓은 초원에서 한가롭게 풀을 뜯고 있는 양떼들의 모습은 이국적인 풍경을 자아낸다.원을 두르듯 걸어가는 1.2km의 산책로는 40분이면 족하다. 특히 설원 한가운데 서 있는 오두막은 ‘화성으로 간 사나이’의 세트장으로 사진촬영 포인트이기도 하다. 초원에 예쁜 피아노까지 갖다 놓아 색다른 분위기까지 연출한다.요즈음은 양들을 방목하지 않기 때문에 양에게 건초를 주는 체험은 축사에서만 가능하다.",033-335-1966,http://www.yangtte.co.kr,강원도 평창군 대관령면 대관령마루길 483-32,유료
대포항,설악산 기슭의 깨끗한 바닷가에 자리잡은 대포항은 남쪽에서 속초시로 들어오는 관문이라 할 수 있으며 설악산이 두드러진 관광지로 바뀜에 따라 고급생선의 집산지로 유명하게 되었다. 그러나 속초가 개항되기 이전에도 설악산이 있었던 것처럼 속초가 알려지기 전에 이미 대포항은 널리 소개되었던 곳이다. ,033-639-2690,X,강원도 속초시 대포항길 64,무료
동대문디자인플라자,"끊임없이 새롭고, 쉴 새 없이 움직이는 곳. 꿈꾸고(Dream), 만들고(Design), 누린다(Play)는 뜻을 가지고 있는 DDP(동대문 디자인 플라자)는 전시, 패션쇼, 포럼, 컨퍼런스 등 국내외 주요 행사들을 진행하고 있다. 건축물투어는 현장접수, 행사 일정, 키즈 프로그램 등은 사이트를 통해 확인하고 신청한다.",02-2153-0000,http://www.ddp.or.kr,서울특별시 중구 을지로 281,무료
보성 녹차밭,"대한다원의 녹차는 맛과 향이 야생차와 같은 유기농의 고급차가 생산되고 있으며, 녹차 밭은 마치 녹색의 카펫을 깔아놓은 듯 장관을 이루어 사계절 내내 관광객이 방문하는 유명 관광지이다. 그림 같은 차밭 사이를 지나 해발 350m 봉우리에 오르면 저 너머 바다까지 펼쳐지는 풍관이 장관이다. 드라마 <여름향기>, <푸른바다의 전설>, <역적> 촬영지로, 자연의 아름다움을 한껏 느낄 수 있다.",061-852-4540,http://dhdawon.com,전라남도 보성군 보성읍 녹차로 763-67,유료
구봉도 낙조전망대,대부도 북쪽 끝에 위치한 구봉도는 아홉개의 봉우리가 있다는 의미로 지어진 명칭이다. 이 중 할배바위와 할매바위 사이로 보이는 석양은 서해안 최고의 절경으로 유명하다. 구봉대에는 구봉도 낙조전망대가 있어 서해안의 낙조와 대부도의 경치를 좋은 위치에서 감상할 수 있다.,031-481-3408,https://tourinfo.ansan.go.kr/main.do,경기도 안산시 단원구 대부북동,???
광안대교,"총연장 7.4km로 광역시도66호선인 광안대로는 부산광역시 수영구 남천통 49호 광장에서 해운대구 우동 센텀시티 부근을 잇고 바다를 가로지르는 국내 최대의 해상복층교량이다. 광안대로는 교량으로서의 기능뿐만 아니라 상층부에서 바라보는 주변경관이 일품으로써 끝없이 펼쳐진 바다와 손을 뻗으면 잡힐듯한 부산의 상징인 오륙도, 광안대로를 둘러싼 황령산과 아기자기한 광안리 백사장, 해운대 동백섬과 달맞이 언덕 등이 한눈에 들어온다.또한, 예술적인 조형미를 갖춘 최첨단 조명시스템이 구축되어 요일별, 계절별로 다양하고 찬란한 불빛으로 색상을 연출할 수 있는 경관조명 덕분에 부산의 명물로 자리잡았다.",051-780-0077,http://gwanganbridge.or.kr,부산광역시 해운대구 수영강변대로 203,무료
광교 호수 공원,"광교호수공원에서 가장 핵심적인 공간은 어반레비(urban levee)다. 어반레비는 '휴식, 모임의 장소인 저수지 제방에서 비롯된 공원 산책로로 도시의 일상과 축제를 모두 수용하는 새로운 도시 제방'을 뜻한다. 어반레비와 함께 '신비한 물너미', '재미난 밭', '신대호수 먼섬숲', '커뮤니티숲(다목적체험장, 캠핑장)', '행복한 들', '조용한 물숲, 향긋한 꽃섬' 등 6개 테마로 구성되어 있다. 호수를 따라 산책로와 자전거도로가 조성되어 있는데, 원천호수는 3km, 신대호스는 3.5km로 어디로 가든지 원점으로 되돌아온다.",70-8800-2460,http://www.gglakepark.or.kr/,경기 수원시 영통구 광교호수공원로 102,무료
경주 엑스포 타워,"경주세계문화엑스포는 지난 1998년부터 2015년 ''실크로드 경주 2015''까지 총 8회의 엑스포를 개최하며 누적관람객이 1,620만명에 달하는 대한민국 국보급 문화박람회이다. 특히 지난 2015년 8월21일부터 59일간 열린 ''실크로드 경주 2015''는 전통문화와 ICT첨단기술의 절묘한 접목, 한국문화와 세계문화의 융합, 풍성한 창작콘텐츠, 다양한 한류콘텐츠를 선보이며 ''실크로드''라는 특별한 테마를 살려 세계 최초 문화엑스포의 저력을 제대로 선보였다는 평가를 받았다.",054-748-3011,http://www.cultureexpo.or.kr,경상북도 경주시 경감로 614,유료
인천 자유 공원,"자유공원은 인천항 개항 5년 만에 만들어진 우리나라 최초의 서구식 공원이다. 지대가 높은데다 터가 넓고 숲이 울창해 산책하기 알맞다. 정상엔 한미수교 백주년기념탑이 있다. 1882년 4월 우리나라와 미국 사이에 조인된 한미수호 통상조약체결을 기념하기 위해 100주년이 되는1982년에 세운 것이다. 한국전쟁 당시 인천상륙작전을 성공시킨 맥아더장군의 전공을 기리는 맥아더장군 동상도 그 옆에 있다. 인천상륙작전 성공 이후 7주년이 되는 1957년 9월 15일에 완공됐다. 자유공원 정상에서는 멀리 인천 앞바다까지도 훤히 내려다보인다. 자유공원 안에는 소규모 동물원과 팔각정, 연오정, 의자 등 쉼터가 마련되어 있다. 맥아더 동상이 있어 자녀와 함께 온다면 교육적으로도 좋다.",032-761-4774,http://www.icjg.go.kr/tour/,인천광역시 중구 자유공원남로 25,무료
제주 주상절리대,"막혔던 가슴이 탁트이도록 시원스레 부서지는 파도, 신이 다듬은 듯 정교하게 겹겹이 쌓은 검붉은 육모꼴의 돌기둥이 병풍처럼 둘러쳐져 있는 중문관광단지 동부지역 해안가의 주상절리대는 자연의 위대함과 절묘함을 동시에 느낄 수 있는 천혜의 관광자원으로, 제주도 지정문화재 기념물 제50호다. 아득한 옛날 지각변동으로 인해 이루어진 주상절리대를 보고 있으면 새하얗게 부서지는 포말 속에 석수장이의 애달픈 사연이라도 금새 실려오는 듯하다. 파도가 심하게 일때는 높이 20m 이상 용솟음 치는 장관을 연출한다. 천혜의 절경으로 인해 테마여행지로 각광받고 있는 명소다.",064-738-1521,http://www.visitjeju.net/,제주특별자치도 서귀포시 이어도로 36-30,유료
죽녹원,죽녹원은 관방제림과 영산강의 시원인 담양천을 끼고 있는 향교를 지나면 바로 왼편에 보이는 대숲이다. 약 16만㎡의 울창한 대숲으로 담양군이 성인산 일대를 조성하여 2003년 5월 개원했다. 죽녹원 입구에서 돌계단을 하나씩 하나씩 밟고 오르며 굳어있던 몸을 풀리고 대나무 사이로 불어오는 대바람이 일상에 지쳐있는 심신에 청량감을 불어 넣어준다. 또한 댓잎의 사각거리는 소리를 들으며 빽빽히 들어서 있는 대나무 숲길을 걷노라면 푸른 댓잎을 통과해 쏟아지는 햇살의 기운을 온 몸으로 받아내는 기분 또한 신선하다. 죽녹원 안에는 대나무 잎에서 떨어지는 이슬을 먹고 자란다는 죽로차(竹露茶)가 자생하고 있다. 죽림욕을 즐기고 난 후 죽로차 한 잔으로 마음의 여유까지 느껴볼 수 있는 곳이다.,061-380-2680,http://juknokwon.go.kr,전라남도 담양군 담양읍 죽녹원로 119,유료
서울 N(남산) 타워,"남산서울타워는 한국 최초의 타워형태의 관광명소다. 높이 236.7m를 헤아리는 타워는 해발 243m인 남산의 높이까지 계산하면 실제 높이는 480m에 이르러 가히 동양최고의 타워라고 자랑할 만하다. 남산서울타워는 40년 만에 일반인에게 공개되는 ''서울타워플라자''와 2005년부터 CJ푸드빌이 임대하여 운영 중인 ''N서울타워''로 구성되어 있다. 남산서울타워는 1969년 TV와 라디오 방송을 수도권에 송출하기 위해 한국 최초의 종합 전파탑으로 세워졌으며, 현재는 서울의 대표적인 복합문화공간이자 랜드마크로 자리잡았다.",02-3455-9277,http://www.seoultower.co.kr,서울특별시 용산구 남산공원길 105,유료
포천 아트 밸리,"포천석으로 불리던 아트밸리 화강암은 국내에서 매우 유명한 조경석이며, 지금도 주변의 여러 채석장에서 개발되고 있다.이 화강암은 약 1억9천에서 1억5천년전에 가장 격렬한 화성활동으로 알려진 대보조산운동을 통해 생성되었으며, 이 시기에 대규모의 마그마가 수차례 관입하여 형성한 화강암류를 대보화강암이라 한다.(기원서 외, 2005; 황재하, 김유홍, 2008).아트밸리에서 볼 수 있는 특징적인 지질구조는 절리발달에 의한 토르(Tor, 탑바위 또는 선바위)가 있다.",031-538-3483,http://artvalley.pocheon.go.kr/,경기도 포천시 신북면 기지리,유료
성산일출봉,"해발 180m인 성산 일출봉은 약 5,000년 전 제주도 수많은 분화구 중에서는 드물게 바닷속에서 수중폭발한 화산체이다. 용암이 물에 섞일 때 일어나는 폭발로 용암은 고운 화산재로 부서져 분화구 둘레에 원뿔형으로 쌓여 있다. 원래는 화산섬이었지만 신양해수욕장 쪽 땅과 섬 사이에 모래와 자갈이 쌓여 육지와 연결이 된 것이다. 일출봉 정상에는 지름 600m, 바닥면의 높이 해발 90m에 면적이 214,400㎡(성산일출봉 분화구의 면적)나 되는 분화구가 자리한다. 이곳에서 이장호 감독의 영화 ''공포의 외인구단''의 한 장면이 촬영되기도 했다. 농사를 짓기도 했는데 지금은 억새밭을 이루며 우도가 손에 잡힐 듯 보인다.",064-783-0959,http://www.visitjeju.net,제주특별자치도 서귀포시 성산읍 일출로 284-12,유료
섭지코지 올인하우스,"섭지코지의 메인 포토존이었던 올인하우스는 최근에 단장을 마치고 동화 속 과자로 만든 집 같은 달콤한 곳으로 변신했다. 예전의 고즈넉한 분위기와 다른 화려한 인테리어가 눈길을 끈다. 드라마의 느낌이 어우러진 옛 정취가 사라져버려 아쉽긴 하지만, 다른 콘셉트의 재미난 사진을 남기기 좋다.",064-782-0080,http://www.visitjeju.net/,제주특별자치도 서귀포시 성산읍 섭지코지로 107,무료
설악산 울산바위,남한에서 가장 멋진 암괴가 설악산 울산바위이다. 울산바위로 오르는 길은 설악동 소공원의 신흥사 옆으로 나있고 중간에 흔들바위가 있다. 정상까지 오를 수 있는 계단이 만들어져 있고 정상에 오르면 대청봉도 보이고 외설악 전경도 눈에 들어온다. 소공원에서 울산바위 정상까지 왕복하는데 서너 시간이 소요된다. 해발 873m의 울산바위는 사방이 절벽으로 이루어져 있으며 둘레가 4km이며 6개의 봉우리로 이루어져 있어 그 경관은 이루 말할 수 없다.,033-801-0900,http://seorak.knps.or.kr,강원도 속초시 설악산로 1091,무료
서울시립미술관,"서울특별시 중구 서소문동에 있는 미술관. 1988년 8월 19일 서울시 종로구 신문로 경희궁지 내 서울고등학교 건물을 보수하여 개관하였다가 2002년 5월 이전하여 새로이 재개관하였다. 서울 도심 한복판 덕수궁 돌담길을 따라 정동길에 아늑하게 자리잡은 서울시립미술관은 1920년대 건축양식으로 지어진 옛 대법원 건물을 파사드 (Facade 전면부)만 그대로 보존한 채 신축하였다.서울시립미술관은 미술작품을 체계적으로 수집,보존하고, 다양한 기획전을 통해 미술을 일반 시민들에게 알리며, 다양한 교육 강좌를 운영하여 미술문화 발전에 기여하기 위한 목적으로 설립되었다. 이 밖에도 현대미술의 발전을 위해 연구, 조사하고, 다양한 출판 활동과 작가지원 프로그램을 실시하고 있다.",02-2124-8800,http://sema.seoul.go.kr,서울특별시 중구 덕수궁길 61,무료
순천 세량지,미국의 유명한 뉴스 채널 CNN이 한국에서 가봐야 할 곳 50곳에 선정할 정도로 빼어난 경치를 간직하고 있다. 산 벚꽃이 만발하는 봄철에 찾아야 진가를 만끽할 수 있다. 이른 아침 물안개가 피어오르면서 햇빛이 비추기 시작하면서 호수에 비친 벚꽃이 수면 위로 솟아오르는 모습은 사람의 눈을 의식하게 만든다. 전국의 수많은 사진작가들이 이 모습을 카메라에 담기 위해 매년 봄 화순을 찾고 있다.,061-379-3501,X,전라남도 화순군 화순읍 세량리 100,무료
속초 엑스포 타워,"속초시 조양동 청초호변에 위치한 엑스포타워는 산과 호수가 어울리는 자연공원속의 하이테크 전망타워로 수직으로 상승하는 역동적 형태는 강원도의 미래를 상징하며, 나선형의 상승구조와 태양의 반사각도에 따른 다양한 변화를 연출하고 있다.전망대높이는 74m, 수용인원은 100여명 정도이며 전망대에 오르면 푸른 동해바다, 설악산 울산바위와 대청봉까지 조망이 가능하며 시내 전경을 한 눈에 바라볼 수 있다. 특히 해질 무렵이나 야경이 아름다우며, 주변에 청초호 철새도래지 관측대가 있다.",033-637-5083,http://www.sokchotour.com,강원도 속초시 엑스포로 72,무료
숭례문(남대문),"숭례문(崇禮門)은 조선 태조 5년(1396)에 최초로 축조되었고 1398년 2월 중건되었다. 이 문은 조선시대 한성 도성의 정문으로 4대문 가운데 남쪽에 위치하므로, 남대문으로도 불린다. 1448년에도 크게 고쳐지었다. 이후 임진왜란과 병자호란 때에도 남대문은 피해를 입지 않았다.처음 만들어졌을 때는 양측에 성벽이 연결되어 있었지만 1908년 도로를 내기 위하여 헐어 내고 성문만 섬처럼 따로 떨어져 있었으나, 2006년 복원 공사를 마치고 지금과 같은 모습을 하게 되었다. 1962년 문화재보호법에 의하여 보물에서 국보 제1호로 지정되었다.",02-779-8547,http://www.junggu.seoul.kr/tour/,서울특별시 중구 세종대로 40,무료
